SUM of Value,Year,,,,,,,,,,,,,,
OUSG Metric,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
People in need,"86,650,000","59,018,148","53,696,493","123,376,698","70,043,417","121,479,519","163,072,926","57,384,736","219,519,409","235,453,961","228,815,487","312,104,007","336,223,130","363,476,474","302,244,276"
